D_code,D_name,Nama_Pemenang,Parti_Pemenang,Undi_Menang,Oppo.Nama,Oppo.Parti,Oppo.Undi,Majoriti,Penyandang.Nama,Penyandang.Parti
N13,Batu Kitang,Lo Khere Chiang,GPS (SUPP),6307,Liu Thian Leong,PSB,1812,4163,"Lo Khere Chiang, Ir",GPS (SUPP)
N13,Batu Kitang,Lo Khere Chiang,GPS (SUPP),6307,Wong Tun Teck,PBK,675,4163,"Lo Khere Chiang, Ir",GPS (SUPP)
N14,Batu Kawah,"Sim Kui Hian, Dato Sri Prof. Dr",GPS (SUPP),7827,"Kelvin Yii Lee Wuen, Dr",DAP,2434,5393,"Sim Kui Hian, Dato Sri Prof. Dr",GPS (SUPP)
N14,Batu Kawah,"Sim Kui Hian, Dato Sri Prof. Dr",GPS (SUPP),7827,Chai Kueh Khun,PBK,756,5393,"Sim Kui Hian, Dato Sri Prof. Dr",GPS (SUPP)
N14,Batu Kawah,"Sim Kui Hian, Dato Sri Prof. Dr",GPS (SUPP),7827,Fong Pau Teck,ASPIRASI,133,5393,"Sim Kui Hian, Dato Sri Prof. Dr",GPS (SUPP)
N15,Asajaya,"Abd. Karim Rahman bin Hamzah, Dato Sri Haji",GPS (PBB),6380,Ishak bin Buji,PSB,1849,4531,"Abd. Karim Rahman Hamzah, Dato Sri Haji",GPS (PBB)
N15,Asajaya,"Abd. Karim Rahman bin Hamzah, Dato Sri Haji",GPS (PBB),6380,Mahmud bin Epah,PKR,721,4531,"Abd. Karim Rahman Hamzah, Dato Sri Haji",GPS (PBB)
N15,Asajaya,"Abd. Karim Rahman bin Hamzah, Dato Sri Haji",GPS (PBB),6380,Mohamad Hamdeen bin Saharuddin,PBK,159,4531,"Abd. Karim Rahman Hamzah, Dato Sri Haji",GPS (PBB)
N16,Muara Tuang,"Idris bin Buang, Dato Haji",GPS (PBB),8435,Ismawi bin Muhammad,Bebas,2198,6237,"Idris Buang, Dato Haji",GPS (PBB)
N16,Muara Tuang,"Idris bin Buang, Dato Haji",GPS (PBB),8435,Yakup bin Khalid,PSB,1838,6237,"Idris Buang, Dato Haji",GPS (PBB)
N16,Muara Tuang,"Idris bin Buang, Dato Haji",GPS (PBB),8435,Hipni bin Sulaiman,SEDAR,357,6237,"Idris Buang, Dato Haji",GPS (PBB)
N16,Muara Tuang,"Idris bin Buang, Dato Haji",GPS (PBB),8435,"Daud bin Eali, Haji",AMANAH,239,6237,"Idris Buang, Dato Haji",GPS (PBB)
N16,Muara Tuang,"Idris bin Buang, Dato Haji",GPS (PBB),8435,Sigandam bin Sulaiman,PBK,190,6237,"Idris Buang, Dato Haji",GPS (PBB)
N17,Stakan,"Hamzah bin Brahim, Datuk",GPS (PBB),7854,Leslie Ting Xiang Zhi,DAP,2047,5807,"Mohammad Ali Mahmud, Datuk Amar Haji",GPS (PBB)
N17,Stakan,"Hamzah bin Brahim, Datuk",GPS (PBB),7854,George Young Si Ricord Junior,PSB,524,5807,"Mohammad Ali Mahmud, Datuk Amar Haji",GPS (PBB)
N17,Stakan,"Hamzah bin Brahim, Datuk",GPS (PBB),7854,Atet ak. Dego,PBK,415,5807,"Mohammad Ali Mahmud, Datuk Amar Haji",GPS (PBB)
N18,Serembu,Miro ak. Simuh,GPS (PBB),4068,Iana ak. Akam,PSB,2418,1650,Miro  ak. Simuh,GPS (PBB)
N18,Serembu,Miro ak. Simuh,GPS (PBB),4068,Jecky ak. Misieng,PBK,257,1650,Miro  ak. Simuh,GPS (PBB)
N18,Serembu,Miro ak. Simuh,GPS (PBB),4068,Michael Saweng,PKR,217,1650,Miro  ak. Simuh,GPS (PBB)
N18,Serembu,Miro ak. Simuh,GPS (PBB),4068,Buln Ribos,ASPIRASI,92,1650,Miro  ak. Simuh,GPS (PBB)
N19,Mambong,"Jerip ak. Susil, Datuk Dr",GPS (PBB),5865,Sanjam ak. Daik,PSB,2794,3071,"Jerip ak. Susil, Datuk Dr",GPS (PBB)
N19,Mambong,"Jerip ak. Susil, Datuk Dr",GPS (PBB),5865,Chang Hon Hiuong,DAP,1517,3071,"Jerip ak. Susil, Datuk Dr",GPS (PBB)
N19,Mambong,"Jerip ak. Susil, Datuk Dr",GPS (PBB),5865,Joshua Roman,PBK,958,3071,"Jerip ak. Susil, Datuk Dr",GPS (PBB)
N19,Mambong,"Jerip ak. Susil, Datuk Dr",GPS (PBB),5865,Chong Siew Hung,ASPIRASI,144,3071,"Jerip ak. Susil, Datuk Dr",GPS (PBB)
N20,Tarat,"Roland Sagah Wee Inn, Datuk",GPS (PBB),6500,Dadi @ Tiap ak. Juul,PSB,1492,5008,"Roland Sagah Wee Inn, Datuk",GPS (PBB)
N20,Tarat,"Roland Sagah Wee Inn, Datuk",GPS (PBB),6500,Christo ak. Michael,PKR,1445,5008,"Roland Sagah Wee Inn, Datuk",GPS (PBB)
N20,Tarat,"Roland Sagah Wee Inn, Datuk",GPS (PBB),6500,Edison Jamang,PBK,1182,5008,"Roland Sagah Wee Inn, Datuk",GPS (PBB)
N20,Tarat,"Roland Sagah Wee Inn, Datuk",GPS (PBB),6500,Bai @ Udin ak. Dungak,Bebas,169,5008,"Roland Sagah Wee Inn, Datuk",GPS (PBB)
N21,Tebedu,"Simon Sinang @ Sinang ak. Bada, Dr",GPS (PBB),5082,Cheyne Kambeng @ Raymond Achen,PSB,1809,3273,"Michael Manyin ak. Jawong, Datuk Amar",GPS (PBB)
N21,Tebedu,"Simon Sinang @ Sinang ak. Bada, Dr",GPS (PBB),5082,Jonathan Lantik Ok,PBK,614,3273,"Michael Manyin ak. Jawong, Datuk Amar",GPS (PBB)
N21,Tebedu,"Simon Sinang @ Sinang ak. Bada, Dr",GPS (PBB),5082,Senior ak. William Rade,PKR,610,3273,"Michael Manyin ak. Jawong, Datuk Amar",GPS (PBB)
N21,Tebedu,"Simon Sinang @ Sinang ak. Bada, Dr",GPS (PBB),5082,Roland ak. Bangu,Bebas,106,3273,"Michael Manyin ak. Jawong, Datuk Amar",GPS (PBB)
N22,Kedup,Maclaine Ben @ Martin Ben,GPS (PBB),5178,Dominic Dado ak. Sagin,PSB,1612,3566,Maclaine Ben @ Martin Ben,GPS (PBB)
N22,Kedup,Maclaine Ben @ Martin Ben,GPS (PBB),5178,"Stephen Morgan Sungan, Dr.",PBK,745,3566,Maclaine Ben @ Martin Ben,GPS (PBB)
N22,Kedup,Maclaine Ben @ Martin Ben,GPS (PBB),5178,Laerry ak. Jabul,DAP,640,3566,Maclaine Ben @ Martin Ben,GPS (PBB)
N23,Bukit Semuja,John ak. Ilus,GPS (PBB),6113,Elsiy ak. Tingang,PSB,1408,4705,John ak. Ilus,GPS
N23,Bukit Semuja,John ak. Ilus,GPS (PBB),6113,Brolin Nicholsion Benedict Achung,DAP,777,4705,John ak. Ilus,GPS
N23,Bukit Semuja,John ak. Ilus,GPS (PBB),6113,Edward Andrew Luwak,PBK,427,4705,John ak. Ilus,GPS
N24,Sadong Jaya,"Aidel bin Lariwoo, Ir",GPS (PBB),4333,Nur Khairunisa binti Adbullah,PSB,456,3877,"Aidel bin Lariwoo, Ir",GPS (PBB)
N24,Sadong Jaya,"Aidel bin Lariwoo, Ir",GPS (PBB),4333,Piee Ling,PKR,319,3877,"Aidel bin Lariwoo, Ir",GPS (PBB)
N24,Sadong Jaya,"Aidel bin Lariwoo, Ir",GPS (PBB),4333,Jolhi Haji Bee,PBK,115,3877,"Aidel bin Lariwoo, Ir",GPS (PBB)
N25,Simunjan,Awla bin Dris,GPS (PBB),4276,Raily @ Reli bin Ali,PSB,925,3351,Awla Dris,GPS (PBB)
N25,Simunjan,Awla bin Dris,GPS (PBB),4276,Hapeni bin Fadil,PKR,518,3351,Awla Dris,GPS (PBB)
N25,Simunjan,Awla bin Dris,GPS (PBB),4276,Saharuddin bin Abdullah,PBK,137,3351,Awla Dris,GPS (PBB)
N26,Gedong,"Abang Haji Abdul Rahman Zohari bin Abang Openg, Tan Sri Datuk Patinggi Dr.",GPS (PBB),4310,Mohamad Sofian Fariz bin Sharbini,PSB,703,3607,"Mohd Naroden Haji Majais, Datuk Haji",GPS (PBB)
N26,Gedong,"Abang Haji Abdul Rahman Zohari bin Abang Openg, Tan Sri Datuk Patinggi Dr.",GPS (PBB),4310,Tomson Ango,PBK,157,3607,"Mohd Naroden Haji Majais, Datuk Haji",GPS (PBB)
N26,Gedong,"Abang Haji Abdul Rahman Zohari bin Abang Openg, Tan Sri Datuk Patinggi Dr.",GPS (PBB),4310,Kamal bin Bujang,AMANAH,94,3607,"Mohd Naroden Haji Majais, Datuk Haji",GPS (PBB)
N27,Sebuyau,"Julaihi Haji Narawi, Datuk Haji",GPS (PBB),4937,Wel @ Maxwel ak. Rojis,AMANAH,803,4134,"Julaihi Haji Narawi, Datuk Haji",GPS (PBB)
N27,Sebuyau,"Julaihi Haji Narawi, Datuk Haji",GPS (PBB),4937,Wan Chee bin Wan Mahjar,PBK,486,4134,"Julaihi Haji Narawi, Datuk Haji",GPS (PBB)
N28,Lingga,Dayang Noorazah binti Awang Sohor,GPS (PBB),3700,"Wan Abdillah Edruce bin Wan Abdul Rahman, Datuk",PSB,1427,2273,"Simoi Haji Peri, Dato Hajah",GPS (PBB)
N28,Lingga,Dayang Noorazah binti Awang Sohor,GPS (PBB),3700,Mohd Sepian bin Abang Daud,Bebas,880,2273,"Simoi Haji Peri, Dato Hajah",GPS (PBB)
N28,Lingga,Dayang Noorazah binti Awang Sohor,GPS (PBB),3700,Baha ak. Imam,PBK,139,2273,"Simoi Haji Peri, Dato Hajah",GPS (PBB)
N28,Lingga,Dayang Noorazah binti Awang Sohor,GPS (PBB),3700,Abang Abdul Kasim bin Abang Bujang,PKR,130,2273,"Simoi Haji Peri, Dato Hajah",GPS (PBB)
N28,Lingga,Dayang Noorazah binti Awang Sohor,GPS (PBB),3700,Abang Ahmad bin Abang Suni,SEDAR,92,2273,"Simoi Haji Peri, Dato Hajah",GPS (PBB)
N29,Beting Maro,"Razaili bin Haji Gapor, Haji",GPS (PBB),3769,Mohamad Arifiriazul bin Paijo,PAS,2058,1711,"Razaili Haji Gapor, Haji",GPS (PBB)
N29,Beting Maro,"Razaili bin Haji Gapor, Haji",GPS (PBB),3769,Abang Zulkifli bin Abang Engkeh,PKR,765,1711,"Razaili Haji Gapor, Haji",GPS (PBB)
